DateTime,AddedIPs,RemovedIPs
1502456554,1,1
1502457122,6,6
1502457721,1,0
1502458322,1,1
1502458922,3,3
1502459284,61,97
1502460214,1,5
1502460722,4,2
1502461322,1,15
1502462521,4,0
1502463123,68,6
1502463722,2,0
1502463755,1,1
1502464322,1,0
1502465044,8,70
1502465521,3,2
1502465581,3,4
1502466121,0,1
1502466721,3,1
1502466963,109,0
1502467415,6,3
1502468884,4,95
1502469722,7,3
1502470321,7,23
1502470921,67,2
1502471521,1,1
1502472122,3,7
1502472725,65,42
1502473321,2,0
1502473921,2,0
1502474614,2,3
1502475721,5,2
1502476563,59,59
1502476921,4,0
1502477523,4,3
1502478121,2,0
1502478154,0,3
1502479321,0,1
1502480522,8,2
1502481121,3,2
1502481754,2,4
1502482322,51,67
1502482922,2,5
1502484245,45,119
1502484721,2,0
1502485321,0,1
1502485414,0,3
1502486522,0,3
1502487122,1,4
1502487181,1,0
1502487722,4,0
1502488963,2,2
1502489521,1,2
1502490003,42,67
1502490121,1,0
1502490722,1,1
1502491322,3,0
1502491922,47,0
1502492522,3,4
1502492622,0,3
1502493844,42,139
1502494922,2,13
1502495522,1,2
1502495763,98,0
1502496122,0,1
1502496721,0,3
1502497685,1,1
1502497921,1,1
1502498522,2,0
1502499121,1,0
1502499612,40,108
1502499766,2,4
1502500322,2,2
1502500922,2,0
1502501527,64,3
1502502123,5,0
1502503444,2,86
1502503922,2,0
1502504523,5,5
1502505362,93,1
1502505722,2,5
1502506322,1,0
1502506955,2,10
1502508122,1,2
1502508721,0,1
1502509921,4,2
1502510558,3,2
1502511124,82,209
1502511721,6,0
1502513044,85,8
1502513521,3,0
1502514122,3,0
1502514155,0,1
1502515205,17,85
1502515321,1,1
1502515981,1,0
1502516521,1,2
1502517122,65,1
1502517755,1,2
1502519043,3,69
1502519521,2,2
1502520121,1,7
1502520963,62,0
1502521355,0,2
1502521922,1,0
1502522522,2,1
1502523722,1,1
1502524321,6,5
1502524815,50,33
1502524955,0,2
1502525522,0,1
1502526723,51,87
1502527321,1,0
1502529721,1,1
1502530921,3,2
1502532122,1,0
1502532215,0,1
1502533322,2,0
1502533922,2,0
1502534885,112,92
1502535121,6,0
1502535755,3,4
1502537521,24,21
1502538121,1,3
1502538963,87,1
1502539415,6,2
1502541126,44,17
1502541722,3,5
1502543044,39,21
1502543522,2,2
1502544122,3,5
1502544963,43,94
1502545322,1,0
1502545922,1,4
1502546615,1,2
1502547122,7,0
1502547721,3,0
1502549044,55,45
1502549522,1,0
1502550121,1,0
1502550155,0,1
1502550722,2,0
1502551322,1,0
1502551922,3,1
1502552885,57,36
1502553121,4,0
1502553755,6,1
1502554321,1,0
1502554802,0,62
1502554922,1,8
1502555581,2,29
1502556122,2,2
1502556723,73,0
1502557355,4,5
1502557922,2,0
1502558644,61,31
1502559121,1,2
1502559721,7,5
1502560564,44,94
1502561015,5,5
1502562483,1,61
1502563322,1,0
1502563921,2,5
1502564522,102,2
1502564555,0,1
1502565122,2,1
1502565721,4,0
1502566323,2,122
1502566922,2,0
1502568245,68,10
1502568722,2,3
1502569322,5,2
1502569922,1,1
1502570163,43,39
1502570522,1,2
1502571121,4,2
1502571815,0,4
1502572323,1,1
1502572922,2,1
1502573521,1,0
1502574002,0,53
1502574122,2,1
1502574721,3,1
1502575355,16,3
1502575925,83,117
1502576522,0,2
1502577181,4,0
1502577721,1,5
1502578322,2,0
1502579016,14,26
1502579763,57,0
1502580122,3,0
1502580721,14,3
1502581321,3,0
1502581683,83,60
1502581921,3,13
1502582556,2,9
1502583604,0,94
1502583721,4,5
1502584381,1,0
1502584921,0,9
1502585523,135,59
1502586123,2,0
1502586723,4,7
1502587443,7,86
1502587922,2,0
1502588521,3,6
1502589363,69,0
1502589756,5,2
1502590322,1,1
1502590921,2,1
1502591286,72,63
1502591581,10,5
1502592122,3,8
1502592722,0,1
1502593416,2,4
1502594522,1,2
1502595123,92,7
1502595722,2,2
1502596321,0,10
1502597044,3,179
1502597522,0,6
1502598122,3,0
1502598964,73,0
1502599322,0,1
1502599921,3,0
1502600556,5,2
1502601121,18,10
1502601721,0,4
1502602381,2,2
1502602805,0,98
1502602922,2,0
1502603522,2,2
1502604216,4,4
1502604724,76,45
1502605321,0,7
1502606644,71,9
1502607632,1,0
1502607756,0,6
1502608562,0,65
1502608921,1,1
1502610122,4,1
1502610484,107,70
1502611356,0,3
1502611921,1,1
1502612402,91,0
1502612521,1,5
1502613722,1,8
1502614324,37,89
1502614956,2,5
1502615521,1,0
1502616242,32,43
1502617322,4,0
1502618163,74,26
1502618556,1,3
1502619121,1,0
1502620084,0,75
1502621521,1,4
1502622018,62,0
1502622156,1,1
1502622721,52,7
1502623321,0,1
1502624164,61,83
1502624521,2,0
1502625121,0,1
1502625756,0,3
1502626922,3,9
1502628121,1,2
1502628722,0,7
1502629416,5,3
1502629925,56,107
1502630521,0,1
1502631181,2,1
1502631843,74,0
1502632322,2,0
1502632921,0,1
1502633522,3,5
1502634121,4,0
1502635322,3,4
1502636556,1,3
1502637845,47,95
1502638322,2,0
1502638922,1,3
1502639764,60,2
1502640156,3,5
1502640721,3,0
1502641686,19,71
1502641981,3,0
1502642522,1,4
1502643121,3,1
1502643631,54,2
1502643756,3,13
1502644921,4,0
1502645526,50,39
1502646122,1,1
1502646721,1,1
1502647416,7,5
1502649122,1,3
1502649606,38,54
1502649721,0,6
1502650833,5,2
1502651523,1,51
1502652121,5,0
1502652721,2,0
1502653444,99,2
1502653921,1,0
1502654617,2,8
1502655364,1,124
1502655722,0,1
1502656922,2,1
1502657524,63,1
1502658171,3,6
1502658721,1,0
1502659444,2,77
1502660521,0,4
1502661364,65,0
1502661817,0,3
1502662322,2,2
1502662922,4,1
1502663581,0,6
1502664122,2,0
1502664721,2,0
1502665224,51,62
1502665357,9,7
1502665921,1,0
1502666521,1,2
1502667122,102,84
1502667722,3,0
1502668922,2,3
1502669522,1,2
1502670123,3,0
1502670963,32,70
1502671321,3,0
1502671921,1,0
1502672617,0,4
1502673122,1,0
1502673722,16,2
1502674803,0,43
